日期,姓名,年龄,工资,邮箱,手机号,地址,部门,产品编码,订单金额,客户评分,物流时效,评价数量
2023-03-24,赵六,20,9422,user82@example.com,18989136502,beijing chaoyang,销售部,PRD8380,6201.96,86.8,4.9,93
2024-02-24,吴十,51,5130,user419@example.com,18291673280,北京市朝阳区建国路29号,市场部,PRD9249,2565.66,82.7,18.1,106
2023-12-27,赵六,51,7708,user360@example.com,13741980788,北京市朝阳区建国路83号,技术部,PRD8946,5685.1,81.4,38.2,111
2024-12-07,张三,29,9569,user706@example.com,19764054579,北京市朝阳区建国路66号,市场部,PRD5204,2607.32,89.3,18.2,111
2025-03-18,吴十,41,9473,user807@example.com,19641881979,北京市朝阳区建国路38号,人事部,PRD4526,3173.57,92.7,25.7,114
2024-08-11,王五,31,8972,user588@example.com,18252039224,北京市朝阳区建国路40号,技术部,PRD5739,8780.66,86.9,15.8,93
2023-08-04,钱七,58,17145,user215@example.com,13167833488,北京市朝阳区建国路93号,市场部,PRD3082,2411.73,待评估,9.4,106
2023-05-27,张三,30,8300,user146@example.com,13175844800,北京市朝阳区建国路90号,市场部,PRD6349,3855.63,96.0,43.3,91
2025-06-29,吴十,27,19171,user910@example.com,15506109106,北京市朝阳区建国路53号,技术部,PRD9719,4519.19,91.8,17.8,105
2023-05-28,张三,47,11722,user147@example.com,17352090256,北京市朝阳区建国路58号,市场部,PRD5609,4518.17,78.7,14.9,110
2023-10-22,吴十,48,14442,user294@example.com,17952285448,北京市朝阳区建国路8号,技术部,PRD6136,2946.43,90.6,17.8,101
2023-09-19,王五,52,19060,user261@example.com,15122955324,北京市朝阳区建国路64号,销售部,PRD1514,3320.1,98.3,33.4,113
2025-08-04,钱七,23,6927,user946@example.com,19665439065,北京市朝阳区建国路39号,技术部,PRD7143,3040.2,96.1,14.1,87
2025-08-16,吴十,34,9644,user958@example.com,18131471503,北京市朝阳区建国路36号,市场部,PRD3667,1714.51,90.1,5.9,121
2023-08-29,王五,39,17116,user240@example.com,19424583307,北京市朝阳区建国路16号,销售部,PRD2079,5426.16,86.0,18.8,92
2024-12-25,赵六,23,16296,user724@example.com,19732904876,北京市朝阳区建国路40号,市场部,PRD2309,4019.58,80.4,11.9,108
2023-01-01,孙八,58,16725,user0@example.com,15972432792,北京市朝阳区建国路85号,技术部,PRD2501,4002.14,80.6,5.0,98
2025-02-11,李四,37,17155,user772@example.com,15173988095,北京市朝阳区建国路52号,技术部,PRD6603,1407.76,96.8,8.7,119
2023-03-04,张三,33,17350,@example.com,15887822880,北京市朝阳区建国路82号,市场部,PRD1601,4755.31,90.7,74.7,94
2025-08-02,李四,46,8427,user944@example.com,15689220202,北京市朝阳区建国路54号,人事部,PRD6275,3663.86,87.1,11.9,102
2023-06-02,王五,46,18575,user152@example.com,13755282637,北京市朝阳区建国路72号,人事部,PRD1095,1566.68,97.4,103.4,109
2024-01-13,孙八,20,13238,user377@example.com,17142189023,北京市朝阳区建国路15号,技术部,PRD4423,1746.35,93.1,15.0,96
2023-11-27,李四,43,12970,user330@example.com,18222836692,北京市朝阳区建国路27号,技术部,PRD7823,3209.67,79.8,14.0,91
2025-05-31,王五,24,5917,user881@example.com,17664637581,北京市朝阳区建国路29号,市场部,PRD9900,1540.57,100,70.6,107
2024-02-18,王五,24,8223,user413@example.com,18489355516,北京市朝阳区建国路73号,人事部,PRD2928,8648.89,93.3,20.3,108
2023-12-20,李四,56,9107,user353@example.com,18185989800,北京市朝阳区建国路99号,技术部,PRD5415,3193.96,79.4,2.2,105
2025-08-23,王五,21,17322,user965@example.com,15460989167,北京市朝阳区建国路54号,人事部,PRD4756,2532.61,84.0,34.0,111
2024-05-17,孙八,35,5806,user502@example.com,17310176437,北京市朝阳区建国路25号,销售部,PRD4814,3586.14,95.0,25.5,113
2024-05-12,孙八,26,6828,user497@example.com,19118152944,北京市朝阳区建国路79号,人事部,PRD1796,1209.81,99.7,3.4,84
2025-05-10,王五,29,10791,user860@example.com,17398745967,北京市朝阳区建国路88号,人事部,PRD3666,4404.01,73.5,27.6,88
2025-06-13,张三,30,6895,user894@example.com,19444818614,北京市朝阳区建国路99号,市场部,PRD2215,1199.04,100,14.9,112
2023-07-16,孙八,30,6279,user196@example.com,18418799201,北京市朝阳区建国路23号,技术部,PRD6047,2438.49,100,39.8,114
2025-03-15,周九,25,13884,user804@example.com,15261926154,北京市朝阳区建国路59号,市场部,PRD9551,9758.21,68.3,6.4,103
2024-09-25,赵六,46,9286,user633@example.com,17797824522,北京市朝阳区建国路86号,市场部,PRD2191,6258.39,100,14.4,87
2024-04-21,孙八,43,7050,user476@example.com,15524463914,北京市朝阳区建国路97号,市场部,PRD1056,1011.68,91.9,9.8,106
2024-02-10,赵六,40,8042,user405@example.com,19619746700,北京市朝阳区建国路68号,销售部,PRD2292,3151.73,73.3,12.6,91
2024-12-26,钱七,44,12813,user725@example.com,15248219838,北京市朝阳区建国路8号,销售部,PRD1692,5908.16,78.1,10.7,109
2024-12-24,李四,59,14098,user723@example.com,13553791732,北京市朝阳区建国路29号,销售部,PRD3117,3456.12,89.6,13.8,99
2024-03-01,钱七,35,13230,user425@example.com,18391510407,北京市朝阳区建国路68号,销售部,PRD9370,1044.07,91.8,29.2,105
2023-06-07,王五,27,16383,user157@example.com,18399705434,北京市朝阳区建国路78号,人事部,PRD2003,1626.46,62.5,23.9,111
2024-03-12,钱七,56,18737,user436@example.com,17814743819,北京市朝阳区建国路29号,人事部,PRD3201,6543.22,84.7,22.7,101
2023-02-06,ZHANG SAN,37,15314,user36@example.com,19291702306,北京市朝阳区建国路26号,市场部,PRD9946,1861.36,88.0,15.9,86
2023-05-20,吴十,47,19295,user139@example.com,15333307734,北京市朝阳区建国路34号,销售部,PRD5145,5995.97,95.0,24.5,92
2024-04-02,李四,53,17764,user457@example.com,13591556812,北京市朝阳区建国路86号,技术部,PRD8355,2387.48,100,10.8,88
2025-02-24,周九,44,8610,user785@example.com,18579318200,北京市朝阳区建国路18号,销售部,PRD4569,2673.83,92.0,11.2,104
2024-08-31,周九,28,7745,user608@example.com,17247599491,北京市朝阳区建国路29号,市场部,PRD9727,2981.33,96.6,10.1,116
2024-10-06,吴十,50,17713,user644@example.com,15680307395,北京市朝阳区建国路70号,技术部,PRD2136,1253.49,65.3,13.6,88
2023-04-08,周九,31,9524,user97@example.com,13555971282,北京市朝阳区建国路75号,人事部门,PRD8538,1145.02,82.0,17.1,100
2024-12-23,周九,23,13220,user722@example.com,19744289625,北京市朝阳区建国路19号,市场部,PRD7515,1530.16,78.9,18.0,87
2023-10-14,李四,52,8850,user286@example.com,17514532960,北京市朝阳区建国路20号,技术部,PRD9104,1700.6,100,19.2,92
2023-12-06,钱七,31,12009,user339@example.com,19683708152,北京市朝阳区建国路32号,销售部,PRD1027,2915.45,82.6,43.6,98
2024-01-01,张三,32,12119,user365@example.com,13476592562,北京市朝阳区建国路65号,市场部,PRD8498,1202.04,75.0,8.5,86
2023-09-27,吴十,22,12643,user269@example.com,18494087826,北京市朝阳区建国路1号,技术部,PRD9276,9320.1,85.2,32.4,100
2024-11-23,王五,34,6887,user692@example.com,18896714018,北京市朝阳区建国路78号,技术部,PRD4588,3878.04,84.1,39.1,111
2025-02-04,周九,43,9179,user765@example.com,18593682746,北京市朝阳区建国路99号,市场部,PRD5943,1372.02,97.8,31.7,92
2023-10-07,王五,46,7866,user279@example.com,13962899903,北京市朝阳区建国路18号,销售部,PRD8864,3341.92,93.9,24.6,122
2023-08-19,钱七,20,11809,user230@example.com,15965686702,北京市朝阳区建国路20号,销售部,PRD9468,4936.3,90.5,6.1,-1
2025-01-06,钱七,47,8356,user736@example.com,15354529228,北京市朝阳区建国路22号,人事部,PRD4913,1806.08,75.0,16.9,106
2025-01-31,王五,45,9116,user761@example.com,13524660576,北京市朝阳区建国路95号,市场部,PRD3573,3994.7,89.4,8.0,88
2024-09-07,吴十,54,15188,user615@example.com,19422223985,北京市朝阳区建国路59号,人事部,PRD4114,2484.35,77.2,6.8,93
2024-04-25,周九,31,7033,user480@example.com,13493228778,北京市朝阳区建国路97号,人事部,PRD6827,2694.89,86.0,11.9,118
2024-10-18,赵六,33,15204,user656@example.com,15243513760,北京市朝阳区建国路71号,人事部,PRD2283,5560.63,76.4,9.5,88
2023-05-02,孙八,34,18087,user121@example.com,19538965844,北京市朝阳区建国路7号,销售部,PRD8680,2533.42,94.2,16.8,99
2023-07-05,吴十,25,8594,user185@example.com,15564147624,北京市朝阳区建国路64号,技术部,PRD7325,1996.43,99.1,8.5,114
2024-09-26,王五,32,8738,user634@example.com,18805280553,北京市朝阳区建国路2号,人事部,PRD6644,3143.82,87.0,37.3,99
2025-03-13,王五,45,5959,user802@example.com,15634579814,北京市朝阳区建国路12号,人事部,PRD3424,3176.5,85.1,8.1,97
2024-11-04,张三,20,6007,user673@example.com,13575337472,北京市朝阳区建国路3号,技术部,PRD7877,2703.56,82.2,11.3,97
2024-12-01,王五,36,14109,user700@example.com,19292467079,北京市朝阳区建国路18号,技术部,PRD6655,1417.34,89.7,25.5,93
2023-03-05,钱七,50,18290,user@,19641740213,北京市朝阳区建国路38号,市场部,PRD6148,2141.56,94.7,2.4,78
2023-07-17,周九,35,19045,user197@example.com,18575192861,北京市朝阳区建国路9号,人事部,PRD3689,2339.78,95.7,25.4,99
2023-04-05,周九,26,7717,user94@example.com,13287078035,北京市朝阳区建国路58号,销售部门,PRD2537,3618.81,90.6,16.7,99
2024-03-24,孙八,54,18585,user448@example.com,17300542882,北京市朝阳区建国路28号,销售部,PRD6271,1833.97,79.7,19.9,111
2023-03-21,周九,26,14916,user79@example.com,086-13888888888,北京市朝阳区建国路64号,人事部,PRD7254,4352.42,62.8,55.8,82
2025-09-01,李四,30,12005,user974@example.com,13837682232,北京市朝阳区建国路59号,技术部,PRD6251,1520.01,100,18.7,94
2023-07-01,王五,38,13705,user181@example.com,15223036091,北京市朝阳区建国路17号,市场部,PRD4570,5937.64,99.6,7.0,118
2023-08-20,李四,31,13633,user231@example.com,17271380655,北京市朝阳区建国路68号,技术部,PRD7817,4138.3,91.3,12.4,999999
2024-03-30,李四,45,17316,user454@example.com,17475664414,北京市朝阳区建国路55号,市场部,PRD4085,2294.27,92.7,20.7,87
