学生ID,姓名,性别,年级,专业,入学年份,生源地,联系电话,宿舍号
STU000001,学生1,男,大二,信息管理,2021,湖北,18219540831,C区1栋325
STU000002,学生2,女,大三,工商管理,2022,浙江,13896233790,D区5栋156
STU000003,学生3,男,大一,物流管理,2023,江苏,15362950628,A区2栋408
STU000004,学生4,男,大一,市场营销,2021,福建,14249827706,B区2栋361
STU000005,学生5,男,大一,信息管理,2020,江苏,18210053353,C区3栋222
STU000006,学生6,女,大一,数据科学,2022,江苏,18895285932,A区4栋540
STU000007,学生7,男,大四,计算机科学,2021,四川,17193349856,B区2栋489
STU000008,学生8,男,大一,信息管理,2020,河南,17553035110,B区5栋672
STU000009,学生9,男,大四,数据科学,2022,河南,13131994523,C区1栋506
STU000010,学生10,女,大四,物流管理,2020,浙江,13334760738,A区4栋119
STU000011,学生11,男,大一,物流管理,2022,四川,14642621108,D区1栋420
STU000012,学生12,男,大一,计算机科学,2023,江苏,17128492780,D区5栋514
STU000013,学生13,男,大二,电子商务,2021,山东,17313500298,D区3栋217
STU000014,学生14,男,大三,计算机科学,2020,河南,18797808098,D区1栋432
STU000015,学生15,女,大一,工商管理,2022,福建,18685126461,B区5栋571
STU000016,学生16,男,大二,信息管理,2020,福建,16336696312,C区1栋547
STU000017,学生17,女,大二,市场营销,2020,北京,16732719211,A区2栋546
STU000018,学生18,女,大三,电子商务,2021,上海,15969119330,D区5栋180
STU000019,学生19,女,大四,计算机科学,2023,山东,19106977991,D区3栋447
STU000020,学生20,男,大一,数据科学,2020,河南,19965241839,B区3栋272
STU000021,学生21,女,大三,电子商务,2022,广东,14849621470,A区5栋216
STU000022,学生22,男,大一,信息管理,2022,河南,16465341213,B区3栋459
STU000023,学生23,女,大二,电子商务,2023,北京,15266944844,B区2栋205
STU000024,学生24,女,大二,信息管理,2022,福建,14919795579,B区3栋302
STU000025,学生25,女,大四,计算机科学,2023,江苏,15209747451,B区5栋256
STU000026,学生26,女,大二,信息管理,2022,广东,13507943839,A区2栋605
STU000027,学生27,女,大二,电子商务,2021,四川,13485451171,D区5栋693
STU000028,学生28,女,大三,数据科学,2020,湖北,19469319644,D区6栋678
STU000029,学生29,女,大一,物流管理,2021,江苏,17384027113,C区6栋423
STU000030,学生30,女,大一,电子商务,2020,湖北,19146654552,B区4栋169
STU000031,学生31,男,大三,信息管理,2020,山东,18593303705,D区4栋410
STU000032,学生32,男,大四,物流管理,2020,上海,17234031070,C区5栋157
STU000033,学生33,女,大一,信息管理,2021,广东,16184611066,C区5栋175
STU000034,学生34,女,大二,数据科学,2020,浙江,17414797776,C区4栋562
STU000035,学生35,女,大一,信息管理,2021,广东,19774996843,A区1栋477
STU000036,学生36,男,大二,计算机科学,2023,河南,17488302652,C区1栋192
STU000037,学生37,女,大四,市场营销,2022,福建,17306468299,D区4栋694
STU000038,学生38,男,大三,电子商务,2022,河南,18174684276,A区4栋685
STU000039,学生39,男,大一,市场营销,2020,河南,13810026086,B区3栋587
STU000040,学生40,男,大三,信息管理,2021,山东,14930075810,B区1栋561
STU000041,学生41,男,大一,数据科学,2022,江苏,15185675980,A区3栋186
STU000042,学生42,男,大二,电子商务,2021,浙江,19349957310,B区1栋353
STU000043,学生43,女,大三,信息管理,2021,浙江,19208449460,D区4栋636
STU000044,学生44,女,大一,物流管理,2020,河南,16398471886,B区3栋481
STU000045,学生45,女,大二,工商管理,2022,湖北,16782560971,C区4栋518
STU000046,学生46,女,大三,信息管理,2020,山东,19491735568,C区6栋153
STU000047,学生47,女,大三,市场营销,2020,河南,14497478786,C区1栋437
STU000048,学生48,男,大一,电子商务,2022,上海,15324956459,A区5栋495
STU000049,学生49,女,大一,市场营销,2022,福建,18386665249,C区3栋253
STU000050,学生50,女,大一,电子商务,2023,江苏,18833953718,C区1栋696
STU000051,学生51,男,大二,信息管理,2023,四川,18176667861,B区3栋417
STU000052,学生52,女,大一,计算机科学,2021,上海,17781802744,D区2栋186
STU000053,学生53,男,大三,物流管理,2022,湖北,14673528321,C区5栋485
STU000054,学生54,女,大三,信息管理,2023,广东,18362863730,C区2栋639
STU000055,学生55,男,大一,市场营销,2021,广东,14596348124,A区6栋533
STU000056,学生56,女,大一,工商管理,2021,上海,16389854268,C区1栋471
STU000057,学生57,女,大四,工商管理,2021,河南,18838908273,C区2栋319
STU000058,学生58,男,大三,数据科学,2023,四川,17335809993,C区4栋296
STU000059,学生59,男,大二,电子商务,2022,北京,18448195935,B区2栋258
STU000060,学生60,男,大四,市场营销,2020,北京,19924970419,A区3栋203
STU000061,学生61,男,大一,数据科学,2021,湖北,19160062915,A区6栋444
STU000062,学生62,男,大一,市场营销,2023,河南,14982403818,B区5栋485
STU000063,学生63,男,大三,电子商务,2023,浙江,13964411347,B区2栋285
STU000064,学生64,男,大一,信息管理,2020,浙江,15530747414,B区6栋548
STU000065,学生65,男,大二,信息管理,2020,江苏,15171069472,A区4栋473
STU000066,学生66,女,大三,工商管理,2023,四川,14709004943,B区4栋391
STU000067,学生67,女,大一,信息管理,2022,四川,18437882805,D区2栋646
STU000068,学生68,男,大三,信息管理,2020,广东,14803771909,B区3栋580
STU000069,学生69,女,大一,计算机科学,2023,山东,16524806516,B区3栋684
STU000070,学生70,女,大一,工商管理,2020,湖北,18592688426,D区4栋388
STU000071,学生71,女,大一,数据科学,2022,北京,14384412919,D区5栋640
STU000072,学生72,女,大二,物流管理,2021,湖北,14364814270,D区2栋304
STU000073,学生73,男,大二,计算机科学,2020,浙江,18702764446,B区3栋153
STU000074,学生74,女,大三,数据科学,2022,浙江,17382116655,D区3栋667
STU000075,学生75,男,大一,电子商务,2023,上海,18727694430,A区6栋628
STU000076,学生76,女,大一,计算机科学,2020,江苏,16726563708,A区3栋185
STU000077,学生77,女,大二,数据科学,2020,四川,16488690725,B区3栋560
STU000078,学生78,女,大一,电子商务,2023,福建,14248532577,B区4栋193
STU000079,学生79,男,大二,工商管理,2021,湖北,17629908599,B区4栋457
STU000080,学生80,女,大一,物流管理,2023,浙江,13911514914,A区4栋154
STU000081,学生81,男,大三,电子商务,2020,山东,13217734861,D区5栋482
STU000082,学生82,女,大一,信息管理,2023,广东,14773715057,B区4栋183
STU000083,学生83,男,大一,市场营销,2022,北京,14950488739,C区2栋128
STU000084,学生84,女,大四,电子商务,2023,江苏,18553290810,C区1栋443
STU000085,学生85,男,大二,电子商务,2020,山东,17168212356,B区2栋139
STU000086,学生86,男,大一,物流管理,2023,江苏,16509760584,C区4栋242
STU000087,学生87,女,大一,市场营销,2021,上海,17602564736,D区4栋105
STU000088,学生88,男,大四,信息管理,2023,福建,17369953851,A区1栋362
STU000089,学生89,女,大四,数据科学,2021,浙江,17112327652,B区2栋661
STU000090,学生90,女,大二,数据科学,2022,广东,18873869166,D区1栋395
STU000091,学生91,女,大四,电子商务,2021,山东,13831980933,B区3栋224
STU000092,学生92,女,大三,市场营销,2023,江苏,17906248900,A区2栋529
STU000093,学生93,女,大四,市场营销,2020,四川,15925276600,D区1栋213
STU000094,学生94,女,大三,信息管理,2021,上海,18465260635,D区5栋648
STU000095,学生95,女,大二,物流管理,2022,四川,13415143362,A区6栋627
STU000096,学生96,女,大二,工商管理,2021,广东,16269820594,B区6栋247
STU000097,学生97,女,大二,数据科学,2021,山东,16103484630,C区4栋101
STU000098,学生98,女,大二,物流管理,2021,上海,18872751234,C区2栋684
STU000099,学生99,女,大二,计算机科学,2022,山东,15637500247,D区2栋187
STU000100,学生100,男,大三,数据科学,2023,浙江,19291825997,C区1栋638
STU000101,学生101,男,大三,物流管理,2021,河南,17214257751,A区4栋581
STU000102,学生102,女,大二,数据科学,2021,上海,19771410971,A区6栋496
STU000103,学生103,女,大四,工商管理,2020,四川,15786066793,C区3栋116
STU000104,学生104,女,大一,计算机科学,2022,广东,17753876785,C区1栋453
STU000105,学生105,女,大二,工商管理,2021,福建,14264109919,B区6栋206
STU000106,学生106,女,大四,信息管理,2022,浙江,15918739736,C区2栋145
STU000107,学生107,女,大一,计算机科学,2021,河南,14679153816,C区5栋446
STU000108,学生108,女,大二,电子商务,2023,福建,19669462919,B区6栋575
STU000109,学生109,女,大二,物流管理,2023,北京,13743111853,D区6栋286
STU000110,学生110,男,大三,计算机科学,2021,浙江,15624636385,B区1栋568
STU000111,学生111,女,大一,信息管理,2023,广东,13220117054,A区3栋306
STU000112,学生112,男,大一,信息管理,2021,江苏,15992994062,A区2栋142
STU000113,学生113,女,大四,工商管理,2023,上海,19430190783,C区3栋627
STU000114,学生114,女,大三,数据科学,2020,山东,14162196678,D区5栋584
STU000115,学生115,男,大三,计算机科学,2020,广东,14709194872,C区1栋295
